OpeningDate,Title,Studio,OpeningGross,OpeningTheaters,TotalGross,TotalTheaters,GrossRatio,Stamina
2019-06-28,Maiden,Other,46931,6,2798852,180,59.63759561910038,Stronger
2019-06-28,The Other Side of Heaven 2: Fire of Faith,Other,454257,205,1688629,205,3.7173428257572256,Strong
2019-06-28,Yesterday,Universal,17010050,2603,73095395,2755,4.297188720785654,Strong
2019-06-26,Annabelle Comes Home,Other,20269723,3613,72683994,3613,3.585840516912836,Strong
2019-06-25,Kinky Boots The Musical (2019),Other,386612,455,900451,492,2.3290818701954414,Weaker
2019-06-23,Forest Gump 25th Anniversary,Other,114767,560,203088,560,1.7695679071510102,Weaker
2019-06-21,Anna (2019),Other,3600647,2114,7743794,2114,2.15066736617058,Weaker
2019-06-21,Child's Play (2019),Other,14094594,3007,29208403,3007,2.0723124766843233,Weaker
2019-06-21,Toy Story 4,Buena Vista,120908065,4575,430457899,4575,3.5602083202638304,Strong
2019-06-21,Wild Rose,Other,52938,4,1635117,195,30.887396577127962,Stronger
2019-06-14,5B,Other,38314,128,72968,128,1.9044735605783787,Weaker
2019-06-14,American Woman,Other,110552,117,236637,117,2.1405040162095665,Weaker
2019-06-14,Men in Black International,Sony,30035838,4224,79663907,4224,2.652295134898517,Weak
2019-06-14,Shaft (2019),Other,8901419,2952,21360215,2952,2.3996415627665657,Weaker
2019-06-14,The Dead Don't Die,Other,2540240,613,6563605,690,2.58385231316726,Weak
2019-06-07,Dark Phoenix,Fox,32828348,3721,65845974,3721,2.0057656876307024,Weaker
2019-06-07,Late Night,Other,246305,4,15499454,2220,62.92789021741337,Stronger
2019-06-07,Pavarotti,Other,144032,19,4600249,288,31.939076038658076,Stronger
2019-06-07,The Last Black Man in San Francisco,Other,235272,7,4515719,207,19.193609949335237,Stronger
2019-06-07,The Secret Life of Pets 2,Universal,46652680,4561,157833845,4564,3.3831678051507437,Strong
2019-06-05,Bharat,Other,1252301,311,2971549,311,2.3728712186606895,Weaker
2019-06-02,Saving Private Ryan (Fathom Event),Other,265125,642,508694,642,1.9186949552098067,Weaker
2019-05-31,Godzilla: King of the Monsters,Warner Brothers,47776293,4108,110495191,4108,2.3127619172965135,Weaker
2019-05-31,Ma (2019),Universal,18099805,2808,45373120,2816,2.5068292172208486,Weak
2019-05-31,Rocketman,Paramount,25725722,3610,96350295,3610,3.7452902196486457,Strong
2019-05-24,Aladdin (2019),Buena Vista,91500929,4476,354509665,4476,3.8743832316718883,Strong
2019-05-24,Booksmart,Other,6933620,2505,22680962,2518,3.271157346378948,Weak
2019-05-24,Brightburn,Other,7845658,2607,17300439,2607,2.2050972652644303,Weaker
2019-05-24,Echo in the Canyon,Other,117651,2,3285841,147,27.92871288811825,Stronger
2019-05-24,India's Most Wanted,Other,98322,110,176858,110,1.798763247289518,Weaker
2019-05-22,"Asbury Park: Riot, Redemption, Rock & Roll",Other,7437,205,167684,270,22.54726368159204,Stronger
2019-05-22,The Tomorrow Man,Other,18281,4,354103,207,19.370001641048084,Stronger
2019-05-19,Bolshoi Ballet: Carmen/Petrushka (2019),Other,207523,362,207523,362,1,Weaker
2019-05-19,TCM: Steel Magnolias 30th Anniversary,Other,495528,689,855421,689,1.7262818650005651,Weaker
2019-05-17,A Dog's Journey,Universal,8030085,3267,22546590,3279,2.807764799500877,Weak
2019-05-17,De De Pyaar De,Other,425934,104,425934,104,1,Weaker
2019-05-17,John Wick: Chapter 3 - Parabellum,Other,56818067,3850,170926873,3850,3.0083190440111243,Weak
2019-05-17,Photograph,Other,35796,13,344534,123,9.62493015979439,Stronger
2019-05-17,The Souvenir,Other,78400,4,1036737,145,13.223686224489796,Stronger
2019-05-17,The Sun Is Also a Star,Warner Brothers,2511530,2073,4950029,2073,1.9709217090777336,Weaker
2019-05-17,Trial by Fire,Other,78817,109,148504,109,1.8841620462590558,Weaker
2019-05-10,All Is True,Other,44211,4,1200481,328,27.1534459749836,Stronger
2019-05-10,Biggest Little Farm,Other,110492,5,4366949,285,39.52276182891069,Stronger
2019-05-10,Pokemon Detective Pikachu,Warner Brothers,54365242,4202,144105346,4248,2.6506889457054195,Weak
2019-05-10,Poms,Other,5361937,2750,13631124,2750,2.5422014469770904,Weak
2019-05-10,Student of the Year 2,Other,462108,190,778566,190,1.6848139395985353,Weaker
2019-05-10,The Hustle,Other,13007709,3007,35417038,3077,2.7227729341116103,Weak
2019-05-10,Tolkien,Other,2200537,1495,4535154,1501,2.060930581944316,Weaker
2019-05-05,Code Geass: Lelouch of the Resurrection,Other,189617,479,522805,490,2.7571631235595966,Weak
2019-05-05,TCM: True Grit 50th Anniversary,Other,157788,614,276418,614,1.751831571475651,Weaker
2019-05-04,Batman (1989) 30th Anniversary,Other,159419,489,159419,489,1,Weaker
2019-05-04,Canelo vs. Jacobs,Other,230703,426,230703,426,1,Weaker
2019-05-03,Ask Dr. Ruth,Other,93128,104,297195,110,3.1912528992354607,Weak
2019-05-03,El Chicano,Other,700261,605,1400603,605,2.0001156711568973,Weaker
2019-05-03,Long Shot,Other,9740064,3230,30316271,3230,3.112533038797281,Weak
2019-05-03,The Intruder (2019),Other,10855054,2222,35419122,2231,3.2629153203659786,Weak
2019-05-03,Uglydolls,Other,8603407,3652,20150241,3652,2.342123416920762,Weaker
2019-04-26,Avengers: Endgame,Buena Vista,357115007,4662,858354001,4662,2.403578634823375,Weaker
2019-04-26,The White Crow,Other,78782,5,1828784,365,23.21322129420426,Stronger
2019-04-22,Okko's Inn,Other,763,1,134787,465,176.65399737876803,Stronger
2019-04-19,Family (2019),Other,19586,3,194601,107,9.935719391402023,Stronger
